модель,цена,фото,описание
Chevrolet Spark,$ 4 481,https://im.mashina.kg/tachka/images//7/7/9/779754cb3c1fbb94ccd6061d93290935_240x180.jpg,"2011 г., 1 л., механика                     хэтчбек 5 дв., бензин              руль слева, 158 000 км"
Chevrolet Matiz,$ 3 538,https://im.mashina.kg/tachka/images//e/2/3/e23c34715fb3bda020be8b4bc1e2071b_240x180.jpg,"2008 г., 0.8 л., механика                     хэтчбек/лифтбек, бензин              руль слева, 225 271 км"
Chevrolet Lacetti,$ 3 597,https://im.mashina.kg/tachka/images//0/9/c/09c04df94f1d658397fd76ca8259de24_240x180.jpg,"2006 г., 1.6 л., механика                     седан, бензин              руль слева, 200 000 км"
Chevrolet Nexia,$ 12 600,https://im.mashina.kg/tachka/images//9/0/b/90b06c6ac0651d10eec74393b092b5f9_240x180.jpg,"2021 г., 1.5 л., автомат                     седан, бензин              руль слева   новый"
Chevrolet Spark,$ 6 900,https://im.mashina.kg/tachka/images//f/0/e/f0e7cee3c3ad127ae9315c9a2334a5d0_240x180.jpg,"2016 г., 0.8 л., автомат                     хэтчбек 5 дв., бензин              руль слева, 99 300 км"
Chevrolet Spark,$ 11 150,https://im.mashina.kg/tachka/images//9/9/9/999256fc32d75357bf14c9e7978f0e4e_240x180.jpg,"2021 г., 1.2 л., автомат                     хэтчбек 5 дв., бензин              руль слева   новый"
Chevrolet Spark,$ 11 150,https://im.mashina.kg/tachka/images//1/a/6/1a6faddb76c9ef4e19aa51dfdd387152_240x180.jpg,"2021 г., 1.2 л., автомат                     хэтчбек 5 дв., бензин              руль слева   новый"
Chevrolet Cobalt,$ 13 700,https://im.mashina.kg/tachka/images//6/2/7/627140d4fd4fd7ad666cf7e574971dde_240x180.jpg,"2021 г., 1.5 л., автомат                     седан, бензин              руль слева   новый"
Chevrolet Spark,$ 11 300,https://im.mashina.kg/tachka/images//4/1/b/41bc7a02463221ba497cb788b4c3c02c_240x180.jpg,"2021 г., 1.2 л., автомат                     хэтчбек 5 дв., бензин              руль слева   новый"
Chevrolet Cobalt,$ 13 700,https://im.mashina.kg/tachka/images//5/9/e/59e690eb2d22c7a0a4eba7cf9cdfa11a_240x180.jpg,"2021 г., 1.5 л., автомат                     седан, бензин              руль слева   новый"
Chevrolet Spark,$ 5 542,https://im.mashina.kg/tachka/images//f/4/d/f4d50fd5e062138d018be6116c001caa_240x180.jpg,"2010 г., 1 л., автомат                     хэтчбек 5 дв., бензин              руль слева"
Chevrolet Aveo,$ 3 600,https://im.mashina.kg/tachka/images//4/2/a/42a6921ffb428d52ffba97d5472bc9ff_240x180.jpg,"2006 г., 1.4 л., механика                     седан, бензин              руль слева, 306 000 км"
Chevrolet Spark,$ 5 600,https://im.mashina.kg/tachka/images//0/6/6/066bc61a2470839e08774e02cb15077e_240x180.jpg,"2009 г., 1 л., автомат                     хэтчбек 5 дв., бензин              руль слева, 150 577 км"
Chevrolet Traverse,$ 24 900,https://im.mashina.kg/tachka/images//e/b/9/eb9328a5a432d65edf39a1dae46bc0ec_240x180.jpg,"2020 г., 3.6 л., автомат                     внедорожник 5 дв., бензин              руль слева, 12 500 км"
Chevrolet Camaro,$ 29 000,https://im.mashina.kg/tachka/images//3/3/8/3386b292de9113c425edfe9b60a0627a_240x180.jpg,"2016 г., 6.2 л., автомат                     купе, бензин              руль слева, 86 100 км"
Chevrolet Aveo,$ 3 656,https://im.mashina.kg/tachka/images//1/0/9/1099c57efc45e341a983f7222eee0787_240x180.jpg,"2007 г., 1.2 л., механика                     седан, бензин              руль слева"
Chevrolet Malibu,$ 12 000,https://im.mashina.kg/tachka/images//f/3/b/f3b3c8f66a5c5468288a19e2c1875284_240x180.jpg,"2015 г., 2.5 л., автомат                     седан, бензин              руль слева, 170 000 км"
Chevrolet TrailBlazer,$ 9 300,https://im.mashina.kg/tachka/images//b/0/d/b0de2437a473c103d08257103d585236_240x180.jpg,"2008 г., 4.2 л., автомат                     внедорожник 5 дв., бензин              руль слева, 130 000 км"
Chevrolet Astro,$ 7 200,https://im.mashina.kg/tachka/images//6/9/5/69550973a0d190aec8a48ac6aeae092d_240x180.jpg,"1988 г., 4.3 л., автомат                     минивэн, бензин              руль слева"
Chevrolet Lacetti,$ 5 800,https://im.mashina.kg/tachka/images//e/1/2/e1206f8ccc3f4176485d370bfa0e5d71_240x180.jpg,"2007 г., 1.6 л., автомат                     хэтчбек 5 дв., бензин              руль слева, 144 253 км"
Chevrolet Aveo,$ 5 300,https://im.mashina.kg/tachka/images//0/a/4/0a4b98402c1c8c3eaae2e7621a082c05_240x180.jpg,"2010 г., 1.2 л., механика                     хэтчбек 5 дв., бензин              руль слева, 120 000 км"
Chevrolet Spark,$ 5 800,https://im.mashina.kg/tachka/images//8/0/7/8070a692f2bcf2aaf7ca4c74f60b9d71_240x180.jpg,"2010 г., 1 л., автомат                     хэтчбек 5 дв., бензин              руль слева, 190 000 км"
Chevrolet Lacetti,$ 3 420,https://im.mashina.kg/tachka/images//6/0/a/60a5204df328ddefa83c92618c2c2a2a_240x180.jpg,"2008 г., 1.4 л., механика                     седан, бензин              руль слева"
Chevrolet Cruze,$ 5 012,https://im.mashina.kg/tachka/images//1/1/0/1107104d5d1b3feee198f0c1f21c6c67_240x180.jpg,"2011 г., 1.6 л., механика                     седан, бензин              руль слева, 225 000 км"
Chevrolet Aveo,$ 4 127,https://im.mashina.kg/tachka/images//2/a/c/2acc26247ce5c267963258a785c45099_240x180.jpg,"2008 г., 1.4 л., механика                     седан, бензин              руль слева, 156 000 км"
Chevrolet Volt,$ 19 300,https://im.mashina.kg/tachka/images//d/0/d/d0d29f54313eb9bfb19408e52eb2efc2_240x180.jpg,"2017 г., 1.5 л., вариатор                     хэтчбек 5 дв., гибрид              руль слева, 100 000 км"
Chevrolet Aveo,$ 3 066,https://im.mashina.kg/tachka/images//3/3/8/3389021addd67ab6f3ff067e34095509_240x180.jpg,"2010 г., 1.4 л., механика                     седан, бензин              руль слева"
Chevrolet Kalos,$ 3 550,https://im.mashina.kg/tachka/images//0/3/b/03be519d8ed477fc0729c7b096ec23a6_240x180.jpg,"2007 г., 1.2 л., механика                     хэтчбек 5 дв., бензин              руль слева, 200 200 км"
Chevrolet Lanos,$ 3 243,https://im.mashina.kg/tachka/images//8/2/9/82942b3927c368d898574242f4cffa8a_240x180.jpg,"2009 г., 1.5 л., механика                     седан, бензин              руль слева, 220 000 км"
Chevrolet Spark,$ 6 200,https://im.mashina.kg/tachka/images//2/f/6/2f6291d8f9ccba0d3459119321c309a4_240x180.jpg,"2012 г., 1 л., автомат                     хэтчбек 5 дв., бензин              руль слева, 103 000 км"
Chevrolet Cruze,$ 5 900,https://im.mashina.kg/tachka/images//7/e/5/7e56ddb8a8472c21cfd35722275a4c34_240x180.jpg,"2014 г., 1.6 л., автомат                     седан, бензин              руль слева, 230 000 км"
Chevrolet Spark,$ 7 500,https://im.mashina.kg/tachka/images//d/b/5/db59cad0a13aad24c3f2f79d7e1f719d_240x180.jpg,"2015 г., 1 л., автомат                     хэтчбек 5 дв., бензин              руль слева, 72 100 км"
Chevrolet Spark,$ 4 009,https://im.mashina.kg/tachka/images//d/5/6/d568a7230f63bc342654c8e47376046c_240x180.jpg,"2008 г., 0.8 л., автомат                     хэтчбек 5 дв., бензин              руль слева, 180 000 км"
Chevrolet Spark,$ 3 302,https://im.mashina.kg/tachka/images//3/7/a/37af2da74d39159423e16881caa0d6a6_240x180.jpg,"2007 г., 0.8 л., механика                     хэтчбек 5 дв., бензин              руль слева, 232 750 км"
Chevrolet Spark,$ 6 300,https://im.mashina.kg/tachka/images//6/c/6/6c66fa37228435b5f825428e1ab3cdf0_240x180.jpg,"2014 г., 1 л., автомат                     хэтчбек 5 дв., бензин              руль слева"
Chevrolet Lacetti,$ 3 300,https://im.mashina.kg/tachka/images//7/a/e/7ae0be21b377e8337168a280adb5b745_240x180.jpg,"2011 г., 1.6 л., механика                     седан, бензин              руль слева, 218 000 км"
Chevrolet Aveo,$ 3 538,https://im.mashina.kg/tachka/images//7/e/9/7e9077c5b77f27a966defb1046c3c3e7_240x180.jpg,"2005 г., 1.4 л., механика                     хэтчбек 5 дв., бензин              руль слева, 320 000 км"
Chevrolet Lacetti,$ 3 656,https://im.mashina.kg/tachka/images//c/6/a/c6a7a6a3bdeb4f9d3df8e99cd5c3bcbe_240x180.jpg,"2010 г., 1.6 л., механика                     седан, бензин              руль слева, 150 000 км"
Chevrolet Kalos,$ 2 594,https://im.mashina.kg/tachka/images//e/5/2/e52f065f2e252da49c4f671bec315043_240x180.jpg,"2006 г., 1.2 л., механика                     хэтчбек 5 дв., бензин              руль слева, 312 650 км"
Chevrolet Aveo,$ 3 538,https://im.mashina.kg/tachka/images//d/7/8/d780d72a37991601a7382b41ca65881a_240x180.jpg,"2011 г., 1.2 л., механика                     седан, бензин              руль слева, 159 985 км"
Chevrolet Lacetti,$ 2 889,https://im.mashina.kg/tachka/images//d/d/8/dd897106ae27cf5366c3119da4c88062_240x180.jpg,"2007 г., 1.4 л., механика                     седан, бензин              руль слева, 180 000 км"
Chevrolet Matiz,$ 3 184,https://im.mashina.kg/tachka/images//e/5/d/e5dd552b90964b7840bd747baad7f91a_240x180.jpg,"2005 г., 0.8 л., механика                     хэтчбек/лифтбек, бензин              руль слева, 187 146 км"
Chevrolet Tracker,$ 14 000,https://im.mashina.kg/tachka/images//8/1/4/8145bab4e0c2592bfed92ca5848cd5a8_240x180.jpg,"2015 г., 1.8 л., автомат                     внедорожник 5 дв., бензин              руль слева, 156 494 км"
Chevrolet Cruze,$ 5 189,https://im.mashina.kg/tachka/images//2/4/4/24432b3728df85643ca7bf7a7cdbccf2_240x180.jpg,"2012 г., 1.6 л., автомат                     хэтчбек 5 дв., бензин              руль слева, 150 000 км"
Chevrolet Spark,$ 8 300,https://im.mashina.kg/tachka/images//3/e/8/3e86a07e7af5b7698e6b551bac70731f_240x180.jpg,"2016 г., 1.4 л., вариатор                     хэтчбек 5 дв., бензин              руль слева, 83 500 км"
Chevrolet Spark,$ 6 700,https://im.mashina.kg/tachka/images//f/d/8/fd86310a4ea6588e5faa05ad5fbd11d8_240x180.jpg,"2012 г., 1 л., автомат                     хэтчбек 5 дв., бензин              руль слева, 265 875 км"
Chevrolet Lacetti,$ 3 892,https://im.mashina.kg/tachka/images//8/0/f/80f950a54013b43b7e9e6fae5809f473_240x180.jpg,"2008 г., 1.6 л., механика                     седан, бензин              руль слева, 255 000 км"
Chevrolet Malibu,$ 12 900,https://im.mashina.kg/tachka/images//f/f/6/ff683c42a1b99eb98f2d2866b2f80846_240x180.jpg,"2016 г., 1.5 л., автомат                     седан, бензин              руль слева, 80 000 км"
Chevrolet Lacetti,$ 3 656,https://im.mashina.kg/tachka/images//8/9/d/89d346446d0a207d20422f85dffe8994_240x180.jpg,"2008 г., 1.6 л., механика                     седан, бензин              руль слева, 256 000 км"
Chevrolet Spark,$ 6 300,https://im.mashina.kg/tachka/images//d/e/c/dec778e59bb15457dda8f8637816ace1_240x180.jpg,"2014 г., 1 л., автомат                     хэтчбек 5 дв., бензин              руль слева, 90 000 км"
Chevrolet Matiz,$ 4 481,https://im.mashina.kg/tachka/images//c/f/2/cf2b348dd0cd0adcda7f1fd7fe71c5b9_240x180.jpg,"2008 г., 1 л., механика                     хэтчбек/лифтбек, бензин              руль слева, 165 000 км"
Chevrolet Lacetti,$ 2 948,https://im.mashina.kg/tachka/images//f/0/f/f0f2b21dbf1f63cb101fa4dfc3bc8c95_240x180.jpg,"2006 г., 1.6 л., механика                     седан, бензин              руль слева, 350 000 км"
Chevrolet Lacetti,$ 4 304,https://im.mashina.kg/tachka/images//2/2/c/22c63460d75a775df6edd6208f67f815_240x180.jpg,"2005 г., 1.6 л., механика                     универсал, бензин              руль слева, 177 777 км"
Chevrolet Lanos,$ 1 651,https://im.mashina.kg/tachka/images//b/f/6/bf6a026496c6baca63391f4cd7c7cc80_240x180.jpg,"2006 г., 1.5 л., механика                     седан, бензин              руль слева"
Chevrolet Spark,$ 5 307,https://im.mashina.kg/tachka/images//a/f/6/af696266f8f7f0b5dbc66db6ddcba1ff_240x180.jpg,"2010 г., 1 л., механика                     хэтчбек 5 дв., бензин              руль слева, 99 000 км"
Chevrolet Cruze,$ 6 000,https://im.mashina.kg/tachka/images//f/4/3/f43cb05427b377a8b2360765b4299199_240x180.jpg,"2012 г., 1.8 л., автомат                     седан, бензин              руль слева, 185 000 км"
Chevrolet Spark,$ 3 302,https://im.mashina.kg/tachka/images//3/b/e/3bea617c5deac902c3dd6584742bd6fa_240x180.jpg,"2008 г., 0.8 л., механика                     хэтчбек 5 дв., бензин              руль слева"
Chevrolet Suburban,$ 14 500,https://im.mashina.kg/tachka/images//f/d/0/fd0cd717cdf24fb02e60aabe125569e1_240x180.jpg,"2010 г., 6 л., автомат                     внедорожник 5 дв., бензин              руль слева, 200 000 км"
Chevrolet Lacetti,$ 3 700,https://im.mashina.kg/tachka/images//b/5/7/b5787601ca2f16633b4f459cf31690f0_240x180.jpg,"2007 г., 1.6 л., механика                     седан, бензин              руль слева"
Chevrolet Camaro,$ 31 000,https://im.mashina.kg/tachka/images//9/c/5/9c5c0e0a64f238a2ea67334731c69f52_240x180.jpg,"2014 г., 3.6 л., автомат                     купе, бензин              руль слева, 60 000 км"
Chevrolet Spark,$ 6 100,https://im.mashina.kg/tachka/images//8/6/f/86f603ddf867eb6c0dd6647e6b924d6a_240x180.jpg,"2014 г., 1 л., автомат                     хэтчбек 5 дв., бензин              руль слева, 108 000 км"
Chevrolet Spark,$ 6 700,https://im.mashina.kg/tachka/images//e/a/7/ea7ed73746529545b65558a8358db6a4_240x180.jpg,"2016 г., 0.8 л., автомат                     хэтчбек 5 дв., бензин              руль слева, 68 000 км"
Chevrolet Spark,$ 5 660,https://im.mashina.kg/tachka/images//2/d/c/2dcc2a711ce9e9510332aff718edd84b_240x180.jpg,"2012 г., 1 л., автомат                     хэтчбек 5 дв., бензин              руль слева, 168 000 км"
Chevrolet Camaro,$ 22 500,https://im.mashina.kg/tachka/images//d/b/7/db768dfcf4f015bb5f0a8d9bc484cf5f_240x180.jpg,"2012 г., 3.6 л., автомат                     купе, бензин              руль слева"
Chevrolet Malibu,$ 16 800,https://im.mashina.kg/tachka/images//5/1/6/516e7dd106b8fd7b0c4c6cbd890b1444_240x180.jpg,"2016 г., 2 л., автомат                     седан, бензин              руль слева, 145 000 км"
Chevrolet Epica,$ 4 245,https://im.mashina.kg/tachka/images//d/3/f/d3f81aedf1a37a2c1cd2e9b408bfb440_240x180.jpg,"2007 г., 2.5 л., автомат                     седан, бензин              руль слева, 180 000 км"
Chevrolet Aveo,$ 2 948,https://im.mashina.kg/tachka/images//9/2/f/92f8a772131293981619fd105c8f7b2f_240x180.jpg,"2010 г., 1.2 л., механика                     седан, бензин              руль слева, 157 400 км"
Chevrolet Matiz,$ 3 278,https://im.mashina.kg/tachka/images//5/6/1/5617b8838dd45d629683bb0479687cbb_240x180.jpg,"2006 г., 1 л., механика                     хэтчбек/лифтбек, бензин              руль слева"
Chevrolet Camaro,$ 19 000,https://im.mashina.kg/tachka/images//5/2/6/52652ea1f9738eba942436427a5145aa_240x180.jpg,"2011 г., 3.6 л., автомат                     купе, бензин              руль слева"
Chevrolet Lacetti,$ 3 999,https://im.mashina.kg/tachka/images//3/4/0/3406e9f705f70dfc115be459c9b94c4b_240x180.jpg,"2006 г., 1.8 л., механика                     универсал, бензин              руль слева, 300 000 км"
Chevrolet Lacetti,$ 4 245,https://im.mashina.kg/tachka/images//b/6/3/b630d9ac06bcda2564ba641515b5670a_240x180.jpg,"2006 г., 1.6 л., механика                     седан, бензин              руль слева"
Chevrolet Lacetti,$ 4 363,https://im.mashina.kg/tachka/images//c/a/4/ca427f175b7015adb4fc8ee7044b6692_240x180.jpg,"2004 г., 1.6 л., автомат                     седан, бензин              руль слева"
Chevrolet Matiz,$ 3 066,https://im.mashina.kg/tachka/images//8/f/1/8f1573a7e2e1952cf793c264bcb825be_240x180.jpg,"2007 г., 0.8 л., механика                     хэтчбек/лифтбек, бензин              руль слева"
Chevrolet Spark,$ 3 302,https://im.mashina.kg/tachka/images//a/e/c/aec7161d64feb8461d6b3b7076ff36e5_240x180.jpg,"2005 г., 1 л., механика                     хэтчбек 5 дв., бензин              руль слева, 125 000 км"
Chevrolet Lanos,$ 2 476,https://im.mashina.kg/tachka/images//5/d/7/5d76f37745b249dddf714c9f77eefead_240x180.jpg,"2007 г., 1.5 л., механика                     седан, бензин              руль слева, 230 000 км"
Chevrolet Lacetti,$ 4 481,https://im.mashina.kg/tachka/images//5/4/5/545cd9b9cbbe582039769b2d151a9645_240x180.jpg,"2004 г., 1.8 л., механика                     седан, бензин              руль слева, 280 000 км"
Chevrolet Volt,$ 14 600,https://im.mashina.kg/tachka/images//7/a/e/7ae26376458da1ca6ea18a1ef8487347_240x180.jpg,"2015 г., 1.4 л., вариатор                     хэтчбек 5 дв., гибрид              руль слева, 162 375 км"
Chevrolet Matiz,$ 3 774,https://im.mashina.kg/tachka/images//d/a/e/dae4e82b224c1bccd7c3905411a00d87_240x180.jpg,"2009 г., 0.8 л., автомат                     хэтчбек/лифтбек, бензин              руль слева, 94 850 км"
Chevrolet Malibu,$ 13 500,https://im.mashina.kg/tachka/images//5/1/3/51312c68f40b7180749d3e7153834908_240x180.jpg,"2017 г., 1.5 л., автомат                     седан, бензин              руль слева, 143 500 км"
Chevrolet Lacetti,$ 4 599,https://im.mashina.kg/tachka/images//9/8/0/980125c034ed6ddd720878c38e4af40a_240x180.jpg,"2005 г., 1.8 л., механика                     универсал, бензин              руль слева"
Chevrolet Lacetti,$ 4 481,https://im.mashina.kg/tachka/images//a/b/5/ab5d47e020b143a9fd366db57cf1184e_240x180.jpg,"2007 г., 1.6 л., механика                     универсал, бензин              руль слева, 192 000 км"
Chevrolet Matiz,$ 2 948,https://im.mashina.kg/tachka/images//3/5/e/35e4c58e4e873998fcfa9de4cc2a3c2c_240x180.jpg,"2005 г., 1 л., механика                     хэтчбек/лифтбек, бензин              руль слева, 215 000 км"
Chevrolet Camaro,$ 17 000,https://im.mashina.kg/tachka/images//5/1/1/51108554c04d6fe0c65eca086f13dd08_240x180.jpg,"2009 г., 3.6 л., автомат                     купе, бензин              руль слева, 150 000 км"
Chevrolet Matiz,$ 5 071,https://im.mashina.kg/tachka/images//4/d/8/4d848c4dfcc5b825abedc333b92fa870_240x180.jpg,"2008 г., 0.8 л., автомат                     хэтчбек/лифтбек, бензин              руль слева"
Chevrolet Spark,$ 7 000,https://im.mashina.kg/tachka/images//e/c/5/ec5e171eab1e535d697726f8a7acafca_240x180.jpg,"2017 г., 0.8 л., автомат                     хэтчбек 5 дв., бензин              руль слева, 34 000 км"
Chevrolet Spark,$ 2 948,https://im.mashina.kg/tachka/images//5/5/f/55f777a14d7b1177790c4e8d5d9580c3_240x180.jpg,"2005 г., 0.8 л., механика                     хэтчбек 5 дв., бензин              руль слева, 301 690 км"
Chevrolet Spark,$ 3 538,https://im.mashina.kg/tachka/images//9/a/1/9a13866cb275f3a310e573ca15ba5b95_240x180.jpg,"2007 г., 0.8 л., механика                     хэтчбек 5 дв., бензин              руль слева, 127 000 км"
Chevrolet Aveo,$ 3 302,https://im.mashina.kg/tachka/images//7/f/6/7f6d4b72df3cecb3bdb3236da1400204_240x180.jpg,"2010 г., 1.4 л., механика                     седан, бензин              руль слева, 256 000 км"
Chevrolet Niva,$ 3 500,https://im.mashina.kg/tachka/images//4/6/b/46bd8eb7ef9c003a5739815e4440ac59_240x180.jpg,"2010 г., 1.7 л., механика                     внедорожник 5 дв., бензин              руль слева, 53 000 км"
Chevrolet Lacetti,$ 3 538,https://im.mashina.kg/tachka/images//3/7/8/37853370ee38daed2da9fdb7cda39e75_240x180.jpg,"2004 г., 1.6 л., механика                     седан, бензин              руль слева, 300 000 км"
Chevrolet Matiz,$ 3 538,https://im.mashina.kg/tachka/images//a/9/a/a9a64e91312cd0a363bef2d98e58395e_240x180.jpg,"2007 г., 0.8 л., механика                     хэтчбек/лифтбек, бензин              руль слева"
Chevrolet Cobalt,$ 9 999,https://im.mashina.kg/tachka/images//d/7/a/d7acde633fecf456733e567c48906763_240x180.jpg,"2017 г., 1.5 л., автомат                     седан, бензин              руль слева, 26 000 км"
Chevrolet Niva,$ 3 538,https://im.mashina.kg/tachka/images//0/f/5/0f5475027989d456ffaa8929665b3706_240x180.jpg,"2005 г., 1.7 л., механика                     внедорожник 5 дв., бензин              руль слева"
Chevrolet Captiva,$ 8 000,https://im.mashina.kg/tachka/images//d/1/c/d1ca49cd42389fb18607ee48df386f83_240x180.jpg,"2008 г., 2 л., автомат                     внедорожник 5 дв., дизель              руль слева, 200 000 км"
Chevrolet Lacetti,$ 3 600,https://im.mashina.kg/tachka/images//b/6/3/b634a7cf77827268f951a78ecb0e1474_240x180.jpg,"2008 г., 1.6 л., механика                     хэтчбек 5 дв., бензин              руль слева"
Chevrolet Aveo,$ 4 800,https://im.mashina.kg/tachka/images//f/d/4/fd418646dcb4e005cc0e1a10587c1117_240x180.jpg,"2006 г., 1.4 л., автомат                     седан, бензин              руль слева, 210 000 км"
Chevrolet Spark,$ 8 400,https://im.mashina.kg/tachka/images//5/d/a/5dad20ddd18b00a96770268770909141_240x180.jpg,"2016 г., 0.8 л., автомат                     хэтчбек 5 дв., бензин              руль слева, 137 000 км"
Chevrolet Malibu,$ 8 500,https://im.mashina.kg/tachka/images//f/7/8/f784738748f9a719ca143d682f6e0d94_240x180.jpg,"2016 г., 1.5 л., автомат                     седан, бензин              руль слева, 90 000 км"
Chevrolet Spark,$ 11 150,https://im.mashina.kg/tachka/images//b/a/d/bad8e3cfb583e18c33ecd898d1cdf1c2_240x180.jpg,"2021 г., 0.8 л., автомат                     хэтчбек 5 дв., бензин              руль слева"
Chevrolet Spark,$ 11 300,https://im.mashina.kg/tachka/images//c/9/e/c9e4b9fda10a682edb7dbc9e34235db3_240x180.jpg,"2021 г., 0.8 л., автомат                     хэтчбек 5 дв., бензин              руль слева"
Chevrolet Captiva,$ 10 000,https://im.mashina.kg/tachka/images//0/0/0/0008cc78255c8b105c3120f144ecd82a_240x180.jpg,"2008 г., 2.4 л., автомат                     внедорожник 5 дв., бензин              руль слева, 220 125 км"
Chevrolet Impala,$ 20 000,https://im.mashina.kg/tachka/images//6/b/9/6b96121591a9dc196a0a4035fb56b269_240x180.jpg,"2016 г., 2.5 л., автомат                     седан, бензин              руль слева"
Chevrolet Spark,$ 7 300,https://im.mashina.kg/tachka/images//e/9/b/e9b0a3fbd78dea34b29507fd54e12b60_240x180.jpg,"2017 г., 0.8 л., автомат                     хэтчбек 5 дв., бензин              руль слева, 29 000 км"
Chevrolet Spark,$ 6 600,https://im.mashina.kg/tachka/images//5/2/3/5238e2a26a9b9427621e3551ca2103b0_240x180.jpg,"2013 г., 1 л., автомат                     хэтчбек 5 дв., бензин              руль слева"
Chevrolet Lacetti,$ 4 127,https://im.mashina.kg/tachka/images//d/6/2/d627bb77a27e0977a224c06419088278_240x180.jpg,"2008 г., 1.6 л., механика                     седан, бензин              руль слева, 297 000 км"
Chevrolet Lacetti,$ 4 127,https://im.mashina.kg/tachka/images//b/7/2/b72036f05d9ad8f01c362b9d8f7b13c9_240x180.jpg,"2009 г., 1.6 л., механика                     седан, бензин              руль слева"
Chevrolet Cobalt,$ 5 700,https://im.mashina.kg/tachka/images//1/3/8/13849d04de33e5c819db3756c313e362_240x180.jpg,"2013 г., 1.5 л., механика                     седан, бензин              руль слева, 18 525 км"
Chevrolet Lacetti,$ 3 302,https://im.mashina.kg/tachka/images//8/0/8/80810ae3d2b11aa52cd6ff447904c9e8_240x180.jpg,"2008 г., 1.8 л., механика                     универсал, бензин              руль слева, 300 000 км"
Chevrolet Spark,$ 6 500,https://im.mashina.kg/tachka/images//e/1/b/e1b349551b838c439152a5c093d4084c_240x180.jpg,"2017 г., 0.8 л., автомат                     хэтчбек 5 дв., бензин              руль слева, 96 000 км"
Chevrolet Lanos,$ 1 946,https://im.mashina.kg/tachka/images//2/7/9/279de0c0239d81eeb800f4e35d1cade9_240x180.jpg,"2009 г., 1.5 л., механика                     седан, бензин              руль слева"
Chevrolet Aveo,$ 3 184,https://im.mashina.kg/tachka/images//2/3/c/23c4ca40ff21aa01b655ae27ba47f638_240x180.jpg,"2006 г., 1.2 л., механика                     седан, бензин              руль слева, 217 830 км"
Chevrolet Aveo,$ 3 302,https://im.mashina.kg/tachka/images//5/6/8/568c2dbb01fc22af81bde1396b3db384_240x180.jpg,"2011 г., 1.2 л., механика                     седан, бензин              руль слева"
Chevrolet Matiz,$ 2 358,https://im.mashina.kg/tachka/images//4/d/2/4d2456153fb8dde0362ea8daa4c83c5b_240x180.jpg,"2005 г., 0.8 л., автомат                     хэтчбек/лифтбек, бензин              руль слева"
Chevrolet Nexia,$ 10 000,фото не было загружено,"2021 г., 1.5 л., механика                     седан, бензин              руль слева, 30 000 км"
Chevrolet Lacetti,$ 2 948,https://im.mashina.kg/tachka/images//2/f/1/2f18e41871c77af745a49710426e278a_240x180.jpg,"2008 г., 1.6 л., механика                     седан, бензин              руль слева"
Chevrolet Matiz,$ 3 302,https://im.mashina.kg/tachka/images//5/e/c/5ec512ebfa1d0017eff533df0715f0ba_240x180.jpg,"2009 г., 0.8 л., механика                     хэтчбек/лифтбек, бензин              руль слева, 150 000 км"
